v(m/s),w(m),d(m),tr(s),kappa,theta(rad),Risk_R
6.641,0.71,1.408,1.218,0.869,0.376008,0.7038
9.644,0.555,0.996,0.309,0.753,0.470208,0.9143
3.948,0.828,0.86,1.421,0.546,0.053104,0.9913
5.887,0.627,1.085,0.669,0.862,0.282304,0.7756
4.49,0.733,1.516,0.627,0.589,0.063819,0.5452
3.449,0.754,0.981,0.93,0.796,0.055961,0.8045
6.538,0.627,1.763,0.88,0.864,0.288098,0.5134
2.347,0.74,1.751,1.022,0.873,0.462969,0.4838
3.825,0.614,1.411,0.793,0.888,0.471251,0.6108
4.827,0.621,1.581,0.63,0.876,0.221869,0.4893
7.34,0.579,1.424,0.842,0.711,0.087972,0.5808
7.895,0.809,1.017,0.415,0.317,0.336135,0.9882
6.857,0.714,1.032,0.769,0.716,0.260107,0.882
9.902,0.591,1.495,0.785,0.6,0.375733,0.7234
7.539,0.847,0.928,0.425,0.807,0.302843,1.0
4.193,0.574,0.886,1.373,0.434,0.169317,0.8589
3.813,0.656,0.869,0.923,0.347,0.419066,1.0
3.87,0.712,1.68,1.081,0.673,0.169821,0.4783
4.664,0.751,1.794,1.094,0.69,0.382568,0.5464
5.722,0.568,1.362,1.449,0.423,0.361286,0.7221
3.607,0.711,0.897,0.84,0.829,0.181988,0.8993
7.319,0.789,1.727,0.582,0.58,0.079805,0.5739
9.94,0.828,1.34,1.31,0.665,0.326509,0.8559
2.713,0.777,0.928,1.291,0.847,0.371098,1.0
2.289,0.641,1.063,0.732,0.361,0.49059,0.9218
6.43,0.642,1.197,0.837,0.72,0.270009,0.7442
9.355,0.699,1.792,1.322,0.446,0.487259,0.7938
2.931,0.795,1.181,1.354,0.908,0.421982,0.8546
8.32,0.641,0.881,0.784,0.421,0.363876,0.9773
4.769,0.843,1.441,1.287,0.393,0.45135,0.845
9.382,0.696,1.406,1.218,0.422,0.263143,0.8332
5.189,0.594,1.168,0.382,0.318,0.070773,0.76
9.705,0.715,1.766,0.819,0.518,0.265015,0.6782
5.516,0.582,1.441,0.559,0.734,0.340444,0.6041
3.216,0.568,1.581,0.852,0.341,0.520911,0.6907
2.462,0.759,1.784,0.587,0.4,0.063557,0.4413
4.426,0.58,1.492,0.375,0.657,0.521869,0.6328
8.512,0.735,1.106,1.049,0.669,0.223097,0.8616
3.046,0.816,1.25,0.534,0.557,0.216838,0.7499
8.62,0.77,1.569,0.313,0.591,0.252031,0.6975
2.154,0.628,1.56,0.465,0.675,0.112679,0.3337
2.097,0.622,1.776,1.262,0.972,0.25544,0.408
2.878,0.714,1.254,1.313,0.369,0.255642,0.7703
3.2,0.647,1.537,0.871,0.563,0.206547,0.5206
5.676,0.786,1.692,1.446,0.851,0.165147,0.5158
7.505,0.681,1.055,1.309,0.327,0.472161,0.9672
5.692,0.741,1.459,1.374,0.746,0.321455,0.6639
2.533,0.706,0.95,1.185,0.659,0.356166,0.9443
2.333,0.575,1.516,0.387,0.35,0.00634,0.4439
9.652,0.771,1.153,0.656,0.545,0.405608,0.9358
7.291,0.606,0.974,0.418,0.762,0.400225,0.9072
4.12,0.556,0.882,1.461,0.507,0.402764,0.9245
6.997,0.665,1.006,0.446,0.731,0.405597,0.9271
7.151,0.709,0.842,1.462,0.859,0.153321,0.9547
9.84,0.731,1.382,1.198,0.868,0.343731,0.7761
